,Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Can_be_ignored
0,2018-05-03 19:00:00,0.5,1.5,0.5,0.8899,20890213.82000000,2018-05-04 18:59:59.999,18946724.69447550,37492,8580293.34000000,7765705.54207550,0
1,2018-05-04 19:00:00,0.8898,0.935,0.888,0.9028,16816165.30000000,2018-05-05 18:59:59.999,15282000.07779090,26476,8057022.91000000,7321986.13999940,0
2,2018-05-05 19:00:00,0.9028,0.918,0.83774,0.86483,16002035.80000000,2018-05-06 18:59:59.999,13997141.56381680,28713,7105353.54000000,6202720.63768380,0
3,2018-05-06 19:00:00,0.86482,0.86886,0.8,0.8249,17303486.40000000,2018-05-07 18:59:59.999,14192279.72923270,29174,7663873.06000000,6270763.15242480,0
4,2018-05-07 19:00:00,0.8249,0.84802,0.792,0.80667,12971303.18000000,2018-05-08 18:59:59.999,10571844.13062480,23010,5941956.44000000,4847939.68801400,0
5,2018-05-08 19:00:00,0.80667,0.81894,0.7569,0.79481,13982375.89000000,2018-05-09 18:59:59.999,11014807.23993190,26971,6959966.53000000,5481454.88845170,0
6,2018-05-09 19:00:00,0.79481,0.80572,0.74085,0.74558,10136895.73000000,2018-05-10 18:59:59.999,7949198.40925800,20175,4439818.93000000,3482182.68100760,0
7,2018-05-10 19:00:00,0.7492,0.75602,0.64758,0.6761,31292480.04000000,2018-05-11 18:59:59.999,21611338.04985610,50248,14712053.67000000,10103226.28777780,0
8,2018-05-11 19:00:00,0.67376,0.71,0.62519,0.68522,18181151.11000000,2018-05-12 18:59:59.999,12223888.83791420,33907,7997751.67000000,5381952.92036520,0
9,2018-05-12 19:00:00,0.68192,0.7501,0.66456,0.72999,17521261.77000000,2018-05-13 18:59:59.999,12503150.51969370,29953,8303020.70000000,5916965.12307930,0
10,2018-05-13 19:00:00,0.72999,0.7499,0.68585,0.72694,21771364.96000000,2018-05-14 18:59:59.999,15661876.54378690,35859,9846287.51000000,7081706.54790800,0
11,2018-05-14 19:00:00,0.72695,0.74892,0.6801,0.689,12951988.45000000,2018-05-15 18:59:59.999,9315740.47292290,22403,6043057.82000000,4344307.14029620,0
12,2018-05-15 19:00:00,0.689,0.712,0.65756,0.70585,11182432.70000000,2018-05-16 18:59:59.999,7602189.99238780,18836,5378728.97000000,3658187.32114560,0
13,2018-05-16 19:00:00,0.70942,0.712,0.6482,0.65849,10070061.14000000,2018-05-17 18:59:59.999,6897498.18231170,17108,4900105.69000000,3364677.46115440,0
14,2018-05-17 19:00:00,0.65849,0.68255,0.646,0.67766,10140675.13000000,2018-05-18 18:59:59.999,6745876.69164840,17434,4897821.95000000,3264359.22226350,0
15,2018-05-18 19:00:00,0.67698,0.69139,0.6611,0.67339,6854397.75000000,2018-05-19 18:59:59.999,4624460.53061850,11991,3406639.88000000,2298450.08190770,0
16,2018-05-19 19:00:00,0.67483,0.70659,0.668,0.6994,8055673.92000000,2018-05-20 18:59:59.999,5558451.01628870,15301,4443174.05000000,3067546.89249360,0
