""," Estimate"," Std. Error"," t value","Pr(>|t|)"
"mu",0.00147768575882806,0.000113533594210647,13.0154054322143,0
"omega",2.64519998751727e-05,2.1431281719728e-05,1.23427054998875,0.217102106033508
"alpha1",0.0726271002613603,0.0217700996656691,3.33609406372591,0.000849644106502012
"beta1",0.912174150934586,0.0221943719678835,41.0993450165904,0
"gamma1",0.00940630252902927,0.0330667162971224,0.284464367266121,0.776054537354216
"vxreg1",5.75493192047381e-10,0.000120497117997498,4.7759913399699e-06,0.999996189310247
"shape",0.889709967741071,0.0536363126399057,16.5878287292837,0
