,Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume,Can_be_ignored
0,2017-12-31 18:00:00,733.01,763.55,716.8,754.99,53909.25885000,2018-01-01 17:59:59.999,40049370.59492610,75314,27993.21701000,20800946.82317060,0
1,2018-01-01 18:00:00,754.99,899.5,749.06,855.28,113257.78355000,2018-01-02 17:59:59.999,95749946.06046560,142511,59298.38305000,50193115.72717760,0
2,2018-01-02 18:00:00,855.13,950.01,810.0,934.03,89041.45688000,2018-01-03 17:59:59.999,78173093.71219920,118866,46899.16696000,41196862.55158440,0
3,2018-01-03 18:00:00,934.03,1009.72,890.01,940.0,102894.47384000,2018-01-04 17:59:59.999,97740086.59030570,132633,56497.66029000,53871687.77288470,0
4,2018-01-04 18:00:00,940.0,1045.0,930.0,959.3,97374.01630000,2018-01-05 17:59:59.999,95739901.47601940,124438,46202.53716000,45538935.01379350,0
5,2018-01-05 18:00:00,958.0,1017.56,950.0,1004.11,71954.27895000,2018-01-06 17:59:59.999,71196052.34066790,91685,37424.43173000,37089109.96309390,0
6,2018-01-06 18:00:00,1003.71,1125.0,999.9,1123.09,65278.81957000,2018-01-07 17:59:59.999,70126945.17356540,89192,34849.04095000,37476141.63947700,0
7,2018-01-07 18:00:00,1123.09,1239.18,910.0,1133.18,158831.54798000,2018-01-08 17:59:59.999,176599793.21126880,171664,80909.60102000,90225877.05144800,0
8,2018-01-08 18:00:00,1133.18,1326.5,1104.85,1291.0,118702.88684000,2018-01-09 17:59:59.999,143246762.08456970,152628,63819.94883000,77223073.25931130,0
9,2018-01-09 18:00:00,1291.0,1440.0,1201.1,1247.0,160185.01290000,2018-01-10 17:59:59.999,210902815.46883200,191352,80897.55541000,106746349.59623190,0
10,2018-01-10 18:00:00,1249.03,1332.49,1021.0,1138.93,194546.29387000,2018-01-11 17:59:59.999,230792205.87537420,210914,90313.17614000,107408785.96097980,0
11,2018-01-11 18:00:00,1136.45,1288.5,1069.01,1253.87,93763.47261000,2018-01-12 17:59:59.999,113367281.76511590,117851,47727.57553000,57769541.83741000,0
12,2018-01-12 18:00:00,1253.87,1427.01,1252.0,1388.02,75893.43201000,2018-01-13 17:59:59.999,101824625.25840410,115872,40759.98465000,54700348.39273760,0
13,2018-01-13 18:00:00,1388.1,1391.89,1220.89,1347.0,98391.19585000,2018-01-14 17:59:59.999,128517479.71604510,124920,49243.39136000,64308202.77234540,0
14,2018-01-14 18:00:00,1347.99,1383.13,1258.12,1271.0,69236.70476000,2018-01-15 17:59:59.999,90732886.24105530,105410,32880.54134000,43133689.39779020,0
15,2018-01-15 18:00:00,1268.67,1275.01,780.0,1000.0,343889.36509000,2018-01-16 17:59:59.999,355819297.45705260,304696,158932.38241000,165083928.94776610,0
16,2018-01-16 18:00:00,999.99,1075.51,755.0,1000.0,436333.67326000,2018-01-17 17:59:59.999,398063123.66295320,391331,215412.88029000,196978642.43245640,0
17,2018-01-17 18:00:00,1000.0,1075.2,924.21,994.0,294545.71207000,2018-01-18 17:59:59.999,296964713.70633010,278162,148139.91520000,149318397.09766870,0
18,2018-01-18 18:00:00,993.3,1079.0,941.0,1032.5,167954.11253000,2018-01-19 17:59:59.999,171217738.31622490,171662,87251.78210000,89102808.30262310,0
19,2018-01-19 18:00:00,1032.5,1165.4,1031.0,1152.75,123352.58362000,2018-01-20 17:59:59.999,137333158.12837540,139129,59469.51440000,66105659.55948060,0
