1.786527252758115592e-04,7.465127692179708519e-05,1.291039043687275975e-04,8.580344892868456907e-05,5.136267182824194420e-05,7.878107346205263375e-05,8.608642481898775612e-05,7.901384202986573850e-05,1.214371885355797361e-04,9.944349074081251880e-05
7.465127692179708519e-05,2.845519839125234705e-04,1.440915098751205045e-04,1.577411038683824345e-04,1.985612550079885805e-05,1.052160968968308811e-04,1.088158085290794839e-04,2.342656126157681396e-04,1.005499532716581327e-04,9.475730535421358154e-05
1.291039043687275975e-04,1.440915098751205045e-04,4.353389206201454501e-04,2.125801212368525080e-04,6.421386753970976483e-05,1.705280099578715272e-04,1.965745698583978070e-04,2.457375846636862212e-04,1.871709737767785983e-04,1.695114748190315428e-04
8.580344892868456907e-05,1.577411038683824345e-04,2.125801212368525080e-04,6.046227481935520075e-04,6.851773441430127282e-05,1.292484525660167732e-04,2.361718575748121063e-04,2.635231158118495759e-04,2.615196902518319164e-04,1.687305604035227598e-04
5.136267182824194420e-05,1.985612550079885805e-05,6.421386753970976483e-05,6.851773441430127282e-05,2.700231639685464089e-04,4.318373157529594429e-05,7.394257109009287707e-05,8.625418746858361653e-05,9.341385914674876106e-05,8.452440569307637466e-05
7.878107346205263375e-05,1.052160968968308811e-04,1.705280099578715272e-04,1.292484525660167732e-04,4.318373157529594429e-05,3.751964477990148324e-04,1.491239510417205027e-04,1.272242013266440227e-04,9.215053704267557914e-05,1.673573213623662194e-04
8.608642481898775612e-05,1.088158085290794839e-04,1.965745698583978070e-04,2.361718575748121063e-04,7.394257109009287707e-05,1.491239510417205027e-04,3.317582464360332864e-04,1.903332834083734518e-04,1.792624200602568885e-04,1.755645301368355144e-04
7.901384202986573850e-05,2.342656126157681396e-04,2.457375846636862212e-04,2.635231158118495759e-04,8.625418746858361653e-05,1.272242013266440227e-04,1.903332834083734518e-04,1.534178005230355836e-03,1.960312776609188549e-04,2.324823949872418627e-04
1.214371885355797361e-04,1.005499532716581327e-04,1.871709737767785983e-04,2.615196902518319164e-04,9.341385914674876106e-05,9.215053704267557914e-05,1.792624200602568885e-04,1.960312776609188549e-04,4.589842943196490105e-04,1.374639732899351867e-04
9.944349074081251880e-05,9.475730535421358154e-05,1.695114748190315428e-04,1.687305604035227598e-04,8.452440569307637466e-05,1.673573213623662194e-04,1.755645301368355144e-04,2.324823949872418627e-04,1.374639732899351867e-04,1.284076097746244790e-03
