c1,c2,c3,c4,c5,c6,c7,c8,c9,c10
8.059731919718062e-08,1.823737397764902e-07,2.795114626268441e-07,0.999999449719379,0.9999995607485561,0.9999996590566402,0.9999997612648898,0.999999813625823,0.9999998848648307,1.0
8.06366574426103e-08,1.8246843578298403e-07,2.7965818636583077e-07,0.9999994494106276,0.9999995605107052,0.9999996588701293,0.9999997611300223,0.9999998135142217,0.99999988478422,0.9999999999999999
8.068084089623527e-08,1.8257483527599387e-07,2.7982305771543065e-07,0.9999994490631575,0.9999995602430608,0.9999996586601729,0.9999997609780916,0.9999998133884065,0.9999998846931929,1.0
8.073047250845898e-08,1.8269440500305514e-07,2.800083546539326e-07,0.9999994486719715,0.9999995599417862,0.9999996584237305,0.999999760806857,0.999999813246487,0.999999884590327,1.0000000000000002
8.078623183035387e-08,1.8282880071299215e-07,2.8021664962099037e-07,0.9999994482313922,0.9999995596025252,0.9999996581573446,0.9999997606137636,0.9999998130863019,0.9999998844739866,1.0000000000000002
8.084888518617818e-08,1.8297989292310423e-07,2.8045084989345036e-07,0.9999994477349581,0.9999995592203228,0.9999996578570763,0.9999997603958922,0.999999812905375,0.9999998843422866,1.0
8.091929725286512e-08,1.8314979642818765e-07,2.807142438842082e-07,0.9999994471753069,0.9999995587895368,0.9999996575184321,0.9999997601499019,0.9999998127008628,0.9999998841930489,0.9999999999999999
8.099844432500105e-08,1.8334090430998584e-07,2.810105545714189e-07,0.9999994465440329,0.9999995583037306,0.9999996571362756,0.9999997598719607,0.9999998124694934,0.9999998840237497,1.0000000000000002
8.108742952989363e-08,1.8355592720632296e-07,2.8134400127823594e-07,0.9999994458315229,0.9999995577555478,0.9999996567047236,0.9999997595576621,0.9999998122074902,0.9999998838314551,1.0000000000000002
8.118750031730631e-08,1.8379793877581418e-07,2.817193713087082e-07,0.9999994450267602,0.9999995571365671,0.9999996562170257,0.9999997592019301,0.9999998119104859,0.999999883612746,1.0
8.130006861225426e-08,1.8407042849096608e-07,2.8214210326592024e-07,0.999999444117092,0.9999995564371252,0.9999996556654164,0.9999997587988996,0.9999998115734136,0.9999998833636244,0.9999999999999999
8.142673409557959e-08,1.8437736313106948e-07,2.826183842688739e-07,0.9999994430879516,0.9999995556461104,0.9999996550409416,0.9999997583417758,0.9999998111903771,0.9999998830793982,0.9999999999999999
8.156931117123909e-08,1.8472325864504565e-07,2.8315526377302866e-07,0.9999994419225254,0.9999995547507126,0.9999996543332487,0.9999997578226631,0.9999998107544935,0.9999998827545423,1.0
8.172986029480886e-08,1.8511326442475142e-07,2.837607873080336e-07,0.9999994406013519,0.9999995537361246,0.999999653530334,0.9999997572323581,0.9999998102577008,0.9999998823825264,1.0
8.191072448066023e-08,1.8555326249312526e-07,2.844441542084523e-07,0.9999994391018375,0.9999995525851831,0.9999996526182376,0.9999997565600969,0.9999998096905224,0.9999998819556027,1.0
8.211457198151896e-08,1.8604998469194762e-07,2.8521590437091777e-07,0.9999994373976687,0.9999995512779328,0.9999996515806718,0.9999997557932462,0.9999998090417775,0.9999998814645438,1.0
8.234444635301847e-08,1.8661115168334928e-07,2.860881402771037e-07,0.9999994354580928,0.9999995497910961,0.9999996503985672,0.9999997549169234,0.9999998082982235,0.999999880898314,1.0
8.260382538854467e-08,1.872456385021197e-07,2.8707479205155573e-07,0.9999994332470401,0.999999548097428,0.9999996490495184,0.9999997539135291,0.9999998074441138,0.9999998802436636,1.0000000000000002
8.289689293401797e-08,1.8796413106833708e-07,2.8819263827313406e-07,0.9999994307206508,0.9999995461638159,0.9999996475062394,0.9999997527615627,0.999999806460173,0.9999998794843215,0.9999999999999999
8.322867989661048e-08,1.887794973547275e-07,2.894618933593267e-07,0.999999427825527,0.9999995439499804,0.9999996457354664,0.9999997514347241,0.99999980532277,0.999999878600266,0.9999999999999998
8.360392700563095e-08,1.897042718027492e-07,2.90902373327967e-07,0.9999994245055598,0.9999995414140379,0.9999996437021671,0.9999997499047,0.9999998040059426,0.9999998775687139,1.0
8.402872293678388e-08,1.9075445131151498e-07,2.925393454025169e-07,0.9999994206894067,0.9999995385026784,0.9999996413617672,0.9999997481354996,0.9999998024767611,0.999999876360886,0.9999999999999999
8.451010885558504e-08,1.9194870264804847e-07,2.94402350701541e-07,0.9999994162915645,0.9999995351522359,0.9999996386607973,0.9999997460836331,0.9999998006952102,0.9999998749414857,1.0000000000000002
8.505625125179161e-08,1.933088873451211e-07,2.965260578270485e-07,0.9999994112090533,0.999999531286331,0.9999996355348217,0.9999997436963002,0.9999997986124368,0.9999998732670311,0.9999999999999999
8.567665146440613e-08,1.9486070770326553e-07,2.989513165088085e-07,0.9999994053172174,0.9999995268129109,0.9999996319058304,0.9999997409090987,0.9999997961685277,0.9999998712837299,0.9999999999999998
8.638240070651212e-08,1.966345055570767e-07,3.017264644231068e-07,0.9999993984643665,0.9999995216205044,0.9999996276789279,0.9999997376430955,0.9999997932896595,0.9999998689247414,0.9999999999999999
8.718649173337807e-08,1.9866625464160976e-07,3.049089559428474e-07,0.9999993904649108,0.9999995155734699,0.9999996227381197,0.9999997338010785,0.9999997898844425,0.9999998661066504,0.9999999999999999
8.810420122997743e-08,2.0099879931846136e-07,3.0856740200897433e-07,0.9999993810905136,0.999999508505939,0.9999996169409245,0.9999997292627368,0.9999997858392055,0.9999998627249015,0.9999999999999998
8.915356071011772e-08,2.0368340804198934e-07,3.127841372228757e-07,0.999999370058625,0.9999995002140628,0.9999996101114567,0.9999997238784332,0.9999997810118891,0.9999998586478647,0.9999999999999998
